Número de RUC,Razón Social,Tipo Contribuyente,Nombre Comercial,Fecha de Inscripción,Fecha de Inicio de Actividades,Estado del Contribuyente,Condición del Contribuyente,Domicilio Fiscal,Sistema Emisión de Comprobante,Actividad Comercio Exterior,Sistema Contabilidad,Actividad Principal
20100039207,RANSA COMERCIAL S.A.C,SOCIEDAD ANONIMA CERRADA,RANSA,09/10/1992,06/03/1939,ACTIVO,HABIDO,AV. ARGENTINA NRO. 2833 Z.I. INDUSTRIAL PROV. CONST. DEL CALLAO - PROV. CONST. DEL CALLAO - CALLAO,MECANIZADO,IMPORTADOR/EXPORTADOR,COMPUTARIZADO,TRANSPORTE DE CARGA POR CARRETERA
20100070970,SUPERMERCADOS PERUANOS SOCIEDAD ANONIMA 'O ' S.P.S.A.,SOCIEDAD ANONIMA,SUPERMERCADOS PERUANOS,09/10/1992,01/06/1979,ACTIVO,HABIDO,CAL.MORELLI NRO. 181 INT. P-2 LIMA - LIMA - SAN BORJA,MECANIZADO,SIN ACTIVIDAD,COMPUTARIZADO,"VENTA AL POR MENOR EN COMERCIOS NO ESPECIALIZADOS CON PREDOMINIO DE LA VENTA DE ALIMENTOS, BEBIDAS O TABACO"
20324562274,PESCA PERU PISCO NORTE S.A.C.,SOCIEDAD ANONIMA CERRADA,PESCA PERU PISCO NORTE S.A.C.,31/05/1996,12/09/1995,ACTIVO,HABIDO,AV. LOS CONQUISTADORES NRO. 638 INT. 201 LIMA - LIMA - SAN ISIDRO,MANUAL,SIN ACTIVIDAD,COMPUTARIZADO,"ELABORACIÓN Y CONSERVACIÓN DE PESCADO, CRUSTÁCEOS Y MOLUSCOS"
20100054128,"Error: Alert Text: Por favor, ingrese número de RUC válido.
Message: unexpected alert open: {Alert text : Por favor, ingrese número de RUC válido.}
  (Session info: chrome=129.0.6668.101)
Stacktrace:
	GetHandleVerifier [0x00007FF62F44B095+29557]
	(No symbol) [0x00007FF62F3BFA50]
	(No symbol) [0x00007FF62F27B56A]
	(No symbol) [0x00007FF62F3190D9]
	(No symbol) [0x00007FF62F2F6F33]
	(No symbol) [0x00007FF62F2C116F]
	(No symbol) [0x00007FF62F2C22D1]
	GetHandleVerifier [0x00007FF62F77C96D+3378253]
	GetHandleVerifier [0x00007FF62F7C8497+3688311]
	GetHandleVerifier [0x00007FF62F7BD1CB+3642539]
	GetHandleVerifier [0x00007FF62F50A6B6+813462]
	(No symbol) [0x00007FF62F3CAB5F]
	(No symbol) [0x00007FF62F3C6B74]
	(No symbol) [0x00007FF62F3C6D10]
	(No symbol) [0x00007FF62F3B5C1F]
	BaseThreadInitThunk [0x00007FFC07B7257D+29]
	RtlUserThreadStart [0x00007FFC092AAF08+40]
",,,,,,,,,,,
20100130204,BANCO BBVA PERU,SOCIEDAD ANONIMA,BBVA,09/10/1992,20/08/1951,ACTIVO,HABIDO,AV. REPUBLICA DE PANAMA NRO. 3055 URB. EL PALOMAR (.) LIMA - LIMA - SAN ISIDRO,COMPUTARIZADO,EXPORTADOR,COMPUTARIZADO,OTROS TIPOS DE INTERMEDIACIÓN MONETARIA
20100239218,"Error: Alert Text: Por favor, ingrese número de RUC válido.
Message: unexpected alert open: {Alert text : Por favor, ingrese número de RUC válido.}
  (Session info: chrome=129.0.6668.101)
Stacktrace:
	GetHandleVerifier [0x00007FF62F44B095+29557]
	(No symbol) [0x00007FF62F3BFA50]
	(No symbol) [0x00007FF62F27B56A]
	(No symbol) [0x00007FF62F3190D9]
	(No symbol) [0x00007FF62F2F6F33]
	(No symbol) [0x00007FF62F2C116F]
	(No symbol) [0x00007FF62F2C22D1]
	GetHandleVerifier [0x00007FF62F77C96D+3378253]
	GetHandleVerifier [0x00007FF62F7C8497+3688311]
	GetHandleVerifier [0x00007FF62F7BD1CB+3642539]
	GetHandleVerifier [0x00007FF62F50A6B6+813462]
	(No symbol) [0x00007FF62F3CAB5F]
	(No symbol) [0x00007FF62F3C6B74]
	(No symbol) [0x00007FF62F3C6D10]
	(No symbol) [0x00007FF62F3B5C1F]
	BaseThreadInitThunk [0x00007FFC07B7257D+29]
	RtlUserThreadStart [0x00007FFC092AAF08+40]
",,,,,,,,,,,
20111124658,"Error: Alert Text: Por favor, ingrese número de RUC válido.
Message: unexpected alert open: {Alert text : Por favor, ingrese número de RUC válido.}
  (Session info: chrome=129.0.6668.101)
Stacktrace:
	GetHandleVerifier [0x00007FF62F44B095+29557]
	(No symbol) [0x00007FF62F3BFA50]
	(No symbol) [0x00007FF62F27B56A]
	(No symbol) [0x00007FF62F3190D9]
	(No symbol) [0x00007FF62F2F6F33]
	(No symbol) [0x00007FF62F2C116F]
	(No symbol) [0x00007FF62F2C22D1]
	GetHandleVerifier [0x00007FF62F77C96D+3378253]
	GetHandleVerifier [0x00007FF62F7C8497+3688311]
	GetHandleVerifier [0x00007FF62F7BD1CB+3642539]
	GetHandleVerifier [0x00007FF62F50A6B6+813462]
	(No symbol) [0x00007FF62F3CAB5F]
	(No symbol) [0x00007FF62F3C6B74]
	(No symbol) [0x00007FF62F3C6D10]
	(No symbol) [0x00007FF62F3B5C1F]
	BaseThreadInitThunk [0x00007FFC07B7257D+29]
	RtlUserThreadStart [0x00007FFC092AAF08+40]
",,,,,,,,,,,
20532710066,SUR MOTRIZ SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA- SURMOTRIZ S.R.L.,SOC.COM.RESPONS. LTDA,SURMOTRIZ CALIDAD Y EXCELENCIA,17/05/2011,01/06/2011,ACTIVO,HABIDO,AV. LEGUIA NRO. 1870 (FRENTE A I.E. JOSE ROSA ARA) TACNA - TACNA - TACNA,MANUAL/COMPUTARIZADO,SIN ACTIVIDAD,MANUAL/COMPUTARIZADO,"VENTA DE PARTES, PIEZAS Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES"
20602521984,"Error: Alert Text: Por favor, ingrese número de RUC válido.
Message: unexpected alert open: {Alert text : Por favor, ingrese número de RUC válido.}
  (Session info: chrome=129.0.6668.101)
Stacktrace:
	GetHandleVerifier [0x00007FF62F44B095+29557]
	(No symbol) [0x00007FF62F3BFA50]
	(No symbol) [0x00007FF62F27B56A]
	(No symbol) [0x00007FF62F3190D9]
	(No symbol) [0x00007FF62F2F6F33]
	(No symbol) [0x00007FF62F2C116F]
	(No symbol) [0x00007FF62F2C22D1]
	GetHandleVerifier [0x00007FF62F77C96D+3378253]
	GetHandleVerifier [0x00007FF62F7C8497+3688311]
	GetHandleVerifier [0x00007FF62F7BD1CB+3642539]
	GetHandleVerifier [0x00007FF62F50A6B6+813462]
	(No symbol) [0x00007FF62F3CAB5F]
	(No symbol) [0x00007FF62F3C6B74]
	(No symbol) [0x00007FF62F3C6D10]
	(No symbol) [0x00007FF62F3B5C1F]
	BaseThreadInitThunk [0x00007FFC07B7257D+29]
	RtlUserThreadStart [0x00007FFC092AAF08+40]
",,,,,,,,,,,
20460315072,"Error: Alert Text: Por favor, ingrese número de RUC válido.
Message: unexpected alert open: {Alert text : Por favor, ingrese número de RUC válido.}
  (Session info: chrome=129.0.6668.101)
Stacktrace:
	GetHandleVerifier [0x00007FF62F44B095+29557]
	(No symbol) [0x00007FF62F3BFA50]
	(No symbol) [0x00007FF62F27B56A]
	(No symbol) [0x00007FF62F3190D9]
	(No symbol) [0x00007FF62F2F6F33]
	(No symbol) [0x00007FF62F2C116F]
	(No symbol) [0x00007FF62F2C22D1]
	GetHandleVerifier [0x00007FF62F77C96D+3378253]
	GetHandleVerifier [0x00007FF62F7C8497+3688311]
	GetHandleVerifier [0x00007FF62F7BD1CB+3642539]
	GetHandleVerifier [0x00007FF62F50A6B6+813462]
	(No symbol) [0x00007FF62F3CAB5F]
	(No symbol) [0x00007FF62F3C6B74]
	(No symbol) [0x00007FF62F3C6D10]
	(No symbol) [0x00007FF62F3B5C1F]
	BaseThreadInitThunk [0x00007FFC07B7257D+29]
	RtlUserThreadStart [0x00007FFC092AAF08+40]
",,,,,,,,,,,
